,animal,cage,treatment,genotype,y
1,1,cage1,0,WT,2.032574544
2,2,cage1,0,WT,1.333886687
3,3,cage1,0,WT,0.6632459417
4,4,cage1,0,WT,-0.2951516783
5,5,cage1,0,WT,-0.1194643392
6,6,cage1,0,WT,0.3606171722
7,7,cage2,0,KO,-0.2116990281
8,8,cage2,0,KO,1.071029124
9,9,cage2,0,KO,0.1766493363
10,10,cage2,0,KO,1.338921337
11,11,cage2,0,KO,1.103624828
12,12,cage2,0,KO,2.214366017
13,13,cage3,A,WT,-0.808708377
14,14,cage3,A,WT,-0.8722712157
15,15,cage3,A,WT,-0.8990707193
16,16,cage3,A,WT,-0.2324112898
17,17,cage3,A,WT,-0.6591578824
18,18,cage3,A,WT,0.1360044024
19,19,cage4,A,KO,0.010517233
20,20,cage4,A,KO,-0.05549454892
21,21,cage4,A,KO,-0.2502534599
22,22,cage4,A,KO,-0.8283539948
23,23,cage4,A,KO,-0.28371017
24,24,cage4,A,KO,-1.046241937
25,25,cage5,B,WT,2.374205114
26,26,cage5,B,WT,2.540338942
27,27,cage5,B,WT,4.1571134
28,28,cage5,B,WT,1.900991291
29,29,cage5,B,WT,2.608550698
30,30,cage5,B,WT,3.963166201
31,31,cage6,B,KO,2.479795982
32,32,cage6,B,KO,4.211403381
33,33,cage6,B,KO,2.05446861
34,34,cage6,B,KO,2.318092193
35,35,cage6,B,KO,1.029332375
36,36,cage6,B,KO,2.68623012
